-27.990000.6, 5.957000.6, -10.127000.6, -0.549000.6, 0.117000.6, 0.828000.6
-27.992000.6, -5.950000.6, -10.127000.6, -0.549000.6, -0.117000.6, 0.828000.6
-23.153000.6, -16.825000.6, -10.131000.6, -0.454000.6, -0.330000.6, 0.828000.6
-14.319000.6, -24.770000.6, -10.123000.6, -0.280000.6, -0.486000.6, 0.828000.6
-2.994000.6, -28.459000.6, -10.127000.6, -0.059000.6, -0.558000.6, 0.828000.6
8.846000.6, -27.206000.6, -10.122000.6, 0.173000.6, -0.533000.6, 0.828000.6
19.147000.6, -21.263000.6, -10.125000.6, 0.375000.6, -0.417000.6, 0.828000.6
26.146000.6, -11.642000.6, -10.130000.6, 0.512000.6, -0.228000.6, 0.828000.6
28.615000.6, -0.003000.6, -10.126000.6, 0.561000.6, 0.000000.6, 0.828000.6
29.528000.6, -0.002000.6, -10.752000.6, 0.571000.6, 0.000000.6, 0.821000.6
26.975000.6, 12.006000.6, -10.750000.6, 0.521000.6, 0.232000.6, 0.821000.6
19.764000.6, 21.937000.6, -10.751000.6, 0.382000.6, 0.424000.6, 0.821000.6
9.127000.6, 28.091000.6, -10.757000.6, 0.176000.6, 0.543000.6, 0.821000.6
-3.092000.6, 29.369000.6, -10.753000.6, -0.060000.6, 0.568000.6, 0.821000.6
-14.764000.6, 25.577000.6, -10.754000.6, -0.285000.6, 0.494000.6, 0.821000.6
-23.896000.6, 17.354000.6, -10.754000.6, -0.462000.6, 0.335000.6, 0.821000.6
-28.883000.6, 6.137000.6, -10.752000.6, -0.558000.6, 0.119000.6, 0.821000.6
-28.887000.6, -6.151000.6, -10.757000.6, -0.558000.6, -0.119000.6, 0.821000.6
-23.890000.6, -17.361000.6, -10.756000.6, -0.462000.6, -0.335000.6, 0.821000.6
-14.770000.6, -25.567000.6, -10.752000.6, -0.285000.6, -0.494000.6, 0.821000.6
-3.091000.6, -29.372000.6, -10.757000.6, -0.060000.6, -0.568000.6, 0.821000.6
9.122000.6, -28.088000.6, -10.757000.6, 0.176000.6, -0.543000.6, 0.821000.6
19.760000.6, -21.939000.6, -10.752000.6, 0.382000.6, -0.424000.6, 0.821000.6
26.973000.6, -12.014000.6, -10.752000.6, 0.521000.6, -0.232000.6, 0.821000.6
29.529000.6, -0.002000.6, -10.753000.6, 0.571000.6, 0.000000.6, 0.821000.6
30.447000.6, -0.002000.6, -11.399000.6, 0.580000.6, 0.000000.6, 0.814000.6
27.809000.6, 12.387000.6, -11.395000.6, 0.530000.6, 0.236000.6, 0.814000.6
20.371000.6, 22.634000.6, -11.403000.6, 0.388000.6, 0.431000.6, 0.814000.6
9.407000.6, 28.954000.6, -11.395000.6, 0.179000.6, 0.552000.6, 0.814000.6
-3.186000.6, 30.283000.6, -11.399000.6, -0.061000.6, 0.577000.6, 0.814000.6
-15.223000.6, 26.365000.6, -11.395000.6, -0.290000.6, 0.503000.6, 0.814000.6
